frame,time_sec,x,y,x_rel
0,0.000000,248,438,0.000
1,0.033333,248,438,0.000
2,0.066667,248,438,0.000
3,0.100000,248,438,0.000
4,0.133333,248,438,0.000
5,0.166667,248,438,0.000
6,0.200000,248,438,0.000
7,0.233333,248,438,0.000
8,0.266667,248,438,0.000
9,0.300000,248,438,0.000
10,0.333333,248,438,0.000
11,0.366667,248,438,0.000
12,0.400000,248,438,0.000
13,0.433333,248,438,0.000
14,0.466667,248,438,0.000
15,0.500000,248,438,0.000
16,0.533333,248,438,0.000
17,0.566667,248,438,0.000
18,0.600000,248,438,0.000
19,0.633333,248,438,0.000
20,0.666667,248,438,0.000
21,0.700000,248,438,0.000
22,0.733333,248,438,0.000
23,0.766667,248,438,0.000
24,0.800000,248,438,0.000
25,0.833333,248,438,0.000
26,0.866667,248,438,0.000
27,0.900000,248,438,0.000
28,0.933333,248,438,0.000
29,0.966667,248,438,0.000
30,1.000000,248,438,0.000
31,1.033333,248,438,0.000
32,1.066667,248,438,0.000
33,1.100000,248,438,0.000
34,1.133333,248,438,0.000
35,1.166667,248,438,0.000
36,1.200000,248,438,0.000
37,1.233333,248,438,0.000
38,1.266667,248,438,0.000
39,1.300000,248,438,0.000
40,1.333333,248,438,0.000
41,1.366667,248,438,0.000
42,1.400000,248,438,0.000
43,1.433333,248,438,0.000
44,1.466667,248,438,0.000
45,1.500000,248,438,0.000
46,1.533333,248,438,0.000
47,1.566667,248,438,0.000
48,1.600000,248,438,0.000
49,1.633333,248,438,0.000
50,1.666667,248,438,0.000
51,1.700000,248,438,0.000
52,1.733333,248,438,0.000
53,1.766667,248,438,0.000
54,1.800000,248,438,0.000
55,1.833333,248,438,0.000
56,1.866667,248,438,0.000
57,1.900000,248,438,0.000
58,1.933333,248,438,0.000
59,1.966667,248,438,0.000
60,2.000000,248,438,0.000
61,2.033333,248,438,0.000
62,2.066667,248,438,0.000
63,2.100000,248,438,0.000
64,2.133333,248,438,0.000
65,2.166667,248,438,0.000
66,2.200000,248,438,0.000
67,2.233333,248,438,0.000
68,2.266667,248,438,0.000
69,2.300000,248,438,0.000
70,2.333333,248,438,0.000
71,2.366667,248,438,0.000
72,2.400000,248,438,0.000
73,2.433333,248,438,0.000
74,2.466667,248,438,0.000
75,2.500000,248,438,0.000
76,2.533333,248,438,0.000
77,2.566667,248,438,0.000
78,2.600000,248,438,0.000
79,2.633333,248,438,0.000
80,2.666667,248,438,0.000
81,2.700000,248,438,0.000
82,2.733333,248,438,0.000
83,2.766667,248,438,0.000
84,2.800000,248,438,0.000
85,2.833333,248,438,0.000
86,2.866667,248,438,0.000
87,2.900000,248,438,0.000
88,2.933333,248,438,0.000
89,2.966667,248,438,0.000
90,3.000000,248,438,0.000
91,3.033333,248,438,0.000
92,3.066667,248,438,0.000
93,3.100000,248,438,0.000
94,3.133333,248,438,0.000
95,3.166667,248,438,0.000
96,3.200000,248,438,0.000
97,3.233333,248,438,0.000
98,3.266667,248,438,0.000
99,3.300000,248,438,0.000
100,3.333333,248,438,0.000
101,3.366667,248,438,0.000
102,3.400000,248,438,0.000
103,3.433333,248,438,0.000
104,3.466667,248,438,0.000
105,3.500000,248,438,0.000
106,3.533333,248,438,0.000
107,3.566667,248,438,0.000
108,3.600000,248,438,0.000
109,3.633333,248,438,0.000
110,3.666667,248,438,0.000
111,3.700000,248,438,0.000
112,3.733333,248,438,0.000
113,3.766667,248,438,0.000
114,3.800000,248,438,0.000
115,3.833333,248,438,0.000
116,3.866667,248,438,0.000
117,3.900000,248,438,0.000
118,3.933333,248,438,0.000
119,3.966667,248,438,0.000
120,4.000000,248,438,0.000
121,4.033333,248,438,0.000
122,4.066667,248,438,0.000
123,4.100000,249,438,1.000
124,4.133333,249,438,1.000
125,4.166667,249,438,1.000
126,4.200000,249,438,1.000
127,4.233333,249,438,1.000
128,4.266667,249,438,1.000
129,4.300000,249,438,1.000
130,4.333333,249,438,1.000
131,4.366667,249,438,1.000
132,4.400000,249,438,1.000
133,4.433333,250,438,2.000
134,4.466667,250,438,2.000
135,4.500000,250,438,2.000
136,4.533333,250,438,2.000
137,4.566667,250,438,2.000
138,4.600000,250,438,2.000
139,4.633333,250,438,2.000
140,4.666667,250,438,2.000
141,4.700000,250,438,2.000
142,4.733333,250,438,2.000
143,4.766667,250,438,2.000
144,4.800000,250,438,2.000
145,4.833333,250,438,2.000
146,4.866667,251,438,3.000
147,4.900000,251,438,3.000
148,4.933333,251,438,3.000
149,4.966667,251,438,3.000
150,5.000000,251,438,3.000
151,5.033333,252,438,4.000
152,5.066667,252,438,4.000
153,5.100000,253,438,5.000
154,5.133333,253,438,5.000
155,5.166667,254,438,6.000
156,5.200000,254,438,6.000
157,5.233333,255,438,7.000
158,5.266667,256,438,8.000
159,5.300000,256,438,8.000
160,5.333333,257,438,9.000
161,5.366667,258,438,10.000
162,5.400000,259,438,11.000
163,5.433333,260,438,12.000
164,5.466667,261,438,13.000
165,5.500000,262,438,14.000
166,5.533333,263,438,15.000
167,5.566667,263,438,15.000
168,5.600000,264,438,16.000
169,5.633333,265,438,17.000
170,5.666667,265,438,17.000
171,5.700000,266,438,18.000
172,5.733333,267,438,19.000
173,5.766667,267,438,19.000
174,5.800000,268,438,20.000
175,5.833333,268,438,20.000
176,5.866667,268,438,20.000
177,5.900000,268,438,20.000
178,5.933333,268,438,20.000
179,5.966667,269,438,21.000
180,6.000000,269,438,21.000
181,6.033333,269,438,21.000
182,6.066667,269,438,21.000
183,6.100000,269,438,21.000
184,6.133333,269,438,21.000
185,6.166667,269,438,21.000
186,6.200000,269,438,21.000
187,6.233333,269,438,21.000
188,6.266667,269,438,21.000
189,6.300000,270,438,22.000
190,6.333333,270,438,22.000
191,6.366667,270,438,22.000
192,6.400000,270,438,22.000
193,6.433333,270,438,22.000
194,6.466667,271,438,23.000
195,6.500000,271,438,23.000
196,6.533333,271,438,23.000
